ACT1;ACT2;ACT3;ACT4;ACT5;ALT1;ALT2;ALT3;ALT4;ALT5;ALT6;CCP1;CCP2;CCP3;CCP4;CCP5;EECC2;EECC3;EECC4;EECC5;EECC6;EECI1;EECI3;EECI4;IES1;IES2;IES3;NS1;NS2;NS3;LV scores - ACTITUD;LV scores - ALT1;LV scores - CONTROL PERCIBIDO;LV scores - CURRICULO;LV scores - INSTITUCIONAL;LV scores - INTENCION;LV scores - NORMA SUBJETIVA;Case index;﻿PAIS;¿Con qué género te sientes identificado?;GENERO;¿Qué edad tienes? (Escribir el número);¿Cuál es tu nivel de estudios actual en la universidad?;AÑO;¿Sabes lo que es el emprendimiento sostenible?;CONOCE;EECI2;EECC1
3.000000000000;3.000000000000;4.000000000000;3.000000000000;2.000000000000;4.000000000000;3.000000000000;4.000000000000;4.000000000000;4.000000000000;4.000000000000;2.000000000000;2.000000000000;3.000000000000;3.000000000000;2.000000000000;3.000000000000;2.000000000000;2.000000000000;2.000000000000;2.000000000000;5.000000000000;2.000000000000;4.000000000000;2.000000000000;2.000000000000;1.000000000000;5.000000000000;3.000000000000;4.000000000000;-0.533888112639;-0.433151610902;-0.704890025048;-0.845900888646;0.230471452715;-1.112511768436;-0.231710639103;20.000000000000;1.000000000000;Masculino;2.000000000000;21.000000000000;Tercer año;3.000000000000;No;2.000000000000;4.000000000000;4.000000000000
4.000000000000;4.000000000000;4.000000000000;3.000000000000;4.000000000000;5.000000000000;4.000000000000;4.000000000000;4.000000000000;4.000000000000;4.000000000000;3.000000000000;3.000000000000;4.000000000000;3.000000000000;1.000000000000;2.000000000000;3.000000000000;3.000000000000;3.000000000000;3.000000000000;4.000000000000;4.000000000000;3.000000000000;3.000000000000;3.000000000000;3.000000000000;5.000000000000;5.000000000000;5.000000000000;0.327434410826;0.015542101468;-0.218376058621;-0.210417217886;0.205424304168;0.036015313169;0.981398621147;21.000000000000;1.000000000000;Femenino;1.000000000000;21.000000000000;Segundo año;2.000000000000;No;2.000000000000;3.000000000000;4.000000000000
4.000000000000;2.000000000000;3.000000000000;3.000000000000;2.000000000000;3.000000000000;3.000000000000;3.000000000000;5.000000000000;4.000000000000;3.000000000000;1.000000000000;1.000000000000;3.000000000000;3.000000000000;1.000000000000;3.000000000000;4.000000000000;2.000000000000;3.000000000000;4.000000000000;4.000000000000;3.000000000000;2.000000000000;1.000000000000;1.000000000000;1.000000000000;3.000000000000;4.000000000000;3.000000000000;-0.746909768194;-0.906590478783;-1.372678843582;0.156727234668;-0.573782503533;-1.696999751913;-1.087796955476;22.000000000000;1.000000000000;Masculino;2.000000000000;21.000000000000;Cuarto año;4.000000000000;No;2.000000000000;2.000000000000;4.000000000000
3.000000000000;3.000000000000;4.000000000000;4.000000000000;3.000000000000;4.000000000000;5.000000000000;4.000000000000;4.000000000000;4.000000000000;4.000000000000;3.000000000000;4.000000000000;4.000000000000;4.000000000000;2.000000000000;3.000000000000;3.000000000000;2.000000000000;3.000000000000;3.000000000000;3.000000000000;3.000000000000;3.000000000000;3.000000000000;3.000000000000;3.000000000000;4.000000000000;4.000000000000;4.000000000000;-0.105141027293;-0.006612607959;0.465063119883;-0.242906966438;-0.501333407771;0.036015313169;-0.244066639694;23.000000000000;1.000000000000;Masculino;2.000000000000;21.000000000000;Cuarto año;4.000000000000;No;2.000000000000;4.000000000000;4.000000000000
5.000000000000;5.000000000000;5.000000000000;5.000000000000;3.000000000000;4.000000000000;5.000000000000;3.000000000000;5.000000000000;5.000000000000;4.000000000000;3.000000000000;3.000000000000;3.000000000000;4.000000000000;3.000000000000;2.000000000000;2.000000000000;2.000000000000;3.000000000000;2.000000000000;2.000000000000;3.000000000000;4.000000000000;3.000000000000;4.000000000000;2.000000000000;5.000000000000;5.000000000000;5.000000000000;1.128412672571;0.186373516564;0.195423080410;-0.803580730877;-0.428884312010;0.052206484800;0.981398621147;24.000000000000;1.000000000000;Femenino;1.000000000000;20.000000000000;Tercer año;3.000000000000;Si;1.000000000000;5.000000000000;5.000000000000
3.000000000000;5.000000000000;5.000000000000;5.000000000000;4.000000000000;4.000000000000;4.000000000000;4.000000000000;5.000000000000;5.000000000000;5.000000000000;1.000000000000;2.000000000000;3.000000000000;3.000000000000;1.000000000000;3.082644628099;3.000000000000;2.000000000000;2.000000000000;2.000000000000;4.000000000000;3.000000000000;3.000000000000;3.000000000000;3.000000000000;3.000000000000;4.000000000000;5.000000000000;5.000000000000;0.948377858777;0.397304734152;-1.133348150207;-0.626287788598;-0.159805038605;0.036015313169;0.587307675498;25.000000000000;1.000000000000;Masculino;2.000000000000;22.000000000000;Cuarto año;4.000000000000;No;2.000000000000;2.000000000000;4.000000000000
3.000000000000;3.000000000000;4.000000000000;3.000000000000;3.000000000000;5.000000000000;5.000000000000;4.000000000000;3.000000000000;4.000000000000;4.000000000000;2.000000000000;4.000000000000;2.000000000000;2.000000000000;2.000000000000;3.000000000000;3.000000000000;3.000000000000;2.000000000000;2.000000000000;3.000000000000;3.000000000000;3.000000000000;1.000000000000;2.000000000000;2.000000000000;5.000000000000;5.000000000000;5.000000000000;-0.309101923491;0.042625540862;-0.700646469525;-0.446067531534;-0.501333407771;-1.116769482154;0.981398621147;26.000000000000;1.000000000000;Femenino;1.000000000000;20.000000000000;Tercer año;3.000000000000;No;2.000000000000;4.000000000000;5.000000000000
3.000000000000;3.000000000000;3.000000000000;4.000000000000;4.000000000000;5.000000000000;5.000000000000;5.000000000000;5.000000000000;5.000000000000;5.000000000000;3.000000000000;3.000000000000;3.000000000000;3.000000000000;3.000000000000;3.000000000000;3.000000000000;4.000000000000;3.000000000000;3.000000000000;4.000000000000;5.000000000000;3.000000000000;4.000000000000;3.000000000000;4.000000000000;4.000000000000;5.000000000000;5.000000000000;-0.086447351472;1.043932903497;-0.037101206513;0.144151657332;0.570653646942;0.604312125015;0.587307675498;27.000000000000;1.000000000000;Femenino;1.000000000000;24.000000000000;Cuarto año;4.000000000000;No;2.000000000000;5.000000000000;5.000000000000
3.000000000000;3.000000000000;4.000000000000;4.000000000000;2.000000000000;5.000000000000;5.000000000000;5.000000000000;5.000000000000;5.000000000000;4.000000000000;2.000000000000;3.000000000000;2.000000000000;4.000000000000;1.000000000000;3.000000000000;4.000000000000;2.000000000000;4.000000000000;4.000000000000;5.000000000000;4.000000000000;4.000000000000;2.000000000000;2.000000000000;3.000000000000;4.000000000000;5.000000000000;5.000000000000;-0.329927216441;0.817666641411;-0.686512787262;0.360086955770;0.960930138262;-0.548472670308;0.587307675498;28.000000000000;1.000000000000;Masculino;2.000000000000;22.000000000000;Tercer año;3.000000000000;No;2.000000000000;5.000000000000;4.000000000000
2.000000000000;3.000000000000;3.000000000000;3.000000000000;2.000000000000;3.000000000000;3.000000000000;2.000000000000;4.000000000000;3.000000000000;3.000000000000;3.000000000000;3.000000000000;2.000000000000;3.000000000000;2.000000000000;2.000000000000;2.000000000000;2.000000000000;1.000000000000;1.000000000000;4.000000000000;3.000000000000;2.000000000000;2.000000000000;1.000000000000;2.000000000000;3.000000000000;3.000000000000;4.000000000000;-0.942391127437;-1.495445517255;-0.490578949024;-1.403630328960;-0.573782503533;-1.128702940068;-1.019892530400;29.000000000000;1.000000000000;Femenino;1.000000000000;20.000000000000;Tercer año;3.000000000000;No;2.000000000000;5.000000000000;5.000000000000
